id,parent,address,pname,cityname,type,parking_type,typecode,shopinfo,childtype,adname,name,location,tel,lng,lat
B0FFHEDXJK,B0FFHHRRBS,灌口镇安仁大道1207号厦门一中集美分校,福建省,厦门市,交通设施服务;停车场;停车场相关,地下,150900,2,305,集美区,福建省厦门第一中学(集美分校)-停车场,"118.001521,24.604203",[],118.001521,24.604203
B02500S561,B0FFGJYA6V,钟林路天乙广场(马青路地铁站1号口步行110米),福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,海沧区,海沧社会创新园停车场,"118.030174,24.494318",[],118.030174,24.494318
B0FFHIS8S5,[],杏美路与碑头路交叉口西北40米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场,"118.032446,24.571245",[],118.032446,24.571245
B0FFHJ3W76,[],永丰路与马銮路交叉口西北150米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],集美区,停车场(永丰路),"118.028868,24.559206",[],118.028868,24.559206
B0FFGXH5YV,[],观光旅游大道与环岛东路交叉口西120米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],思明区,停车场(厦门白海豚大酒店东),"118.174362,24.453243",[],118.174362,24.453243
B0FFGBJJNB,[],印斗路与盛光路交叉口西60米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场,"118.102082,24.581074",[],118.102082,24.581074
B0FFG7ICCM,[],高浦路杏东公园(东南角),福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场(杏林中心幼儿园杏东分园南),"118.050228,24.561237",[],118.050228,24.561237
B0FFG7BUYN,[],金山西路宏山新村,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],湖里区,停车场(宏山新村西),"118.150070,24.503898",[],118.150070,24.503898
B0FFG65CFF,B0FFF0BUAH,金湖路与枋湖西路交叉口东80米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,湖里区,东晖广场停车场(枋湖西路),"118.142787,24.508459",[],118.142787,24.508459
B0FFG653HD,[],沧林三路亚太广场(海沧行政中心地铁站1号口旁),福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],海沧区,停车场(文圃花园西南),"118.032836,24.488372",[],118.032836,24.488372
B0FFG01OZW,B025000100,凤山二里78号,福建省,厦门市,交通设施服务;停车场;公共停车场|交通设施服务;停车场;路边停车场,,150904|150906,2,305,同安区,厦门市同安区妇幼保健院停车场,"118.163309,24.722422",[],118.163309,24.722422
B02500Q8K9,B025004Q5J,新宝成花园东南门旁,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,海沧区,新宝成花园停车场,"118.049358,24.488998",[],118.049358,24.488998
B0FFHIUBLU,[],凤泉路与风泉西路交叉口东40米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场,"117.990390,24.607610",[],117.990390,24.607610
B02500S6ON,[],金尚路与吕岭路交叉口西南120米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],思明区,龙山工业区停车场,"118.145178,24.488341",[],118.145178,24.488341
B0FFINCDAD,B025004DVL,集美大道1799号中国科学院城市环境研究所,福建省,厦门市,交通设施服务;停车场;公共停车场,其它,150904,2,305,集美区,中国科学院城市环境研究所停车场,"118.065043,24.609424",[],118.065043,24.609424
B0FFINCNZ9,B02500QGCX,杏林东路(禹洲中央海岸南区),福建省,厦门市,交通设施服务;停车场;公共停车场,其它,150904,2,305,集美区,停车场(宁海一里),"118.064729,24.562733",[],118.064729,24.562733
B0FFGAPKIN,[],沧林路与海裕路交叉口西80米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],海沧区,停车场(厦门市海沧医院西北),"118.038895,24.491913",[],118.038895,24.491913
B0FFGCDTT3,B0FFFDDLWJ,东方高尔夫C场,福建省,厦门市,交通设施服务;停车场;公共停车场,地下,150904,2,305,海沧区,东方高尔夫C场停车场,"118.053140,24.523802",[],118.053140,24.523802
B02500UPCZ,B0FFF671BH,香山路香山,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,翔安区,香山公园景区香山殿停车场,"118.297664,24.626668",[],118.297664,24.626668
B02500QIKN,[],吕岭路辅路与江头东路交叉口东北100米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],湖里区,停车场(江浦路),"118.135437,24.492966",[],118.135437,24.492966
B0FFG655VO,[],宜宾路201号之101-103附近,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],湖里区,华景花园公寓停车场,"118.113830,24.507135",[],118.113830,24.507135
B025003Y4T,B0250043JM,长河路285-295号附近,福建省,厦门市,交通设施服务;停车场;公共停车场,地下,150904,2,305,湖里区,长乐村停车场,"118.103615,24.521121",[],118.103615,24.521121
B0FFG7OIRP,[],大同路(思明北路-横竹路)北侧,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],思明区,大同路停车场,"118.078823,24.456842",[],118.078823,24.456842
B0FFFZ0VK3,B0FFFPNYER,前埔东路新华都购物广场(前埔店),福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,思明区,前埔枢纽站停车场,"118.173198,24.471012",[],118.173198,24.471012
B0FFG64ZTF,[],殿前5组5074号(殿前地铁站3号口步行230米),福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],湖里区,停车场(石鼓山立交),"118.114593,24.522707",[],118.114593,24.522707
B0FFIOS6EM,[],海沧大道与沧屏路交叉口西南80米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],海沧区,海沧大道停车场,"118.057709,24.491669",[],118.057709,24.491669
B0FFI93MEC,[],天阳路51-59号附近,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场,"118.101636,24.597020",[],118.101636,24.597020
B0FFG64V8K,[],祥吴一路与区府大道辅路交叉口南100米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],翔安区,停车场,"118.240986,24.617999",[],118.240986,24.617999
B02500QTRB,[],新丰路221号附近,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],湖里区,马垅阳光公寓停车场,"118.121363,24.520713",[],118.121363,24.520713
B0FFG65AO0,B0FFFPLSSI,翔云一路121号厦门高崎国际机场T3航站楼,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,湖里区,厦门高崎国际机场东停车场,"118.135076,24.535484",[],118.135076,24.535484
B0FFGB2C7X,[],银湖路与较场三路交叉口南140米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],同安区,停车场(银湖里东),"118.155053,24.716949",[],118.155053,24.716949
B0FFG65HZ1,[],华盛路嘉湖花园,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],湖里区,华盛路停车场,"118.100276,24.512199",[],118.100276,24.512199
B02500SXHL,B025002LYM,金山西里4号金山花园,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,湖里区,金山花园停车场,"118.155594,24.499726",[],118.155594,24.499726
B0FFFRCPDP,B025000BAA,曾厝垵西路与环岛南路交叉口西南100米,福建省,厦门市,交通设施服务;停车场;公共停车场,免费;地面,150904,2,305,思明区,鲤鱼门食府珍珠湾店停车场,"118.113979,24.428679",[],118.113979,24.428679
B02500S5OZ,[],湖滨一里与湖滨南路辅路交叉口西北160米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],思明区,停车场(源昌凯宾斯基大酒店东),"118.101988,24.473179",[],118.101988,24.473179
B0FFG7BHH7,[],鳌园路与尚南路交叉口西260米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场(鳌园路),"118.099921,24.565826",[],118.099921,24.565826
B0FFG78UCI,B0FFFPLSSI,翔云一路121号厦门高崎国际机场T3航站楼,福建省,厦门市,交通设施服务;停车场;公共停车场,立体,150904,2,305,湖里区,厦门高崎国际机场T3航站楼停车楼,"118.134155,24.533643",[],118.134155,24.533643
B0FFG3Y3LN,[],侨英路与英瑶路交叉口东40米,福建省,厦门市,交通设施服务;停车场;公共停车场|交通设施服务;停车场;路边停车场,,150904|150906,2,[],集美区,停车场(飞轮海俱乐部西南),"118.111410,24.602379",[],118.111410,24.602379
B02500S3C7,[],天水路厦门明至汽车有限公司,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],集美区,停车场,"118.061058,24.632489",[],118.061058,24.632489
B0FFGCTDA8,B0FFFY9C5A,滨海西大道后田村291号珍味海鲜大排档(后田店),福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,同安区,珍味海鲜大排档停车场,"118.130157,24.601556",[],118.130157,24.601556
B0FFG3XZS0,[],侨英路与东林路交叉口东南60米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场(飞轮海俱乐部西南),"118.110451,24.602992",[],118.110451,24.602992
B0FFFUWAKG,[],孙坂北路42号附近,福建省,厦门市,交通设施服务;停车场;公共停车场,,150904,2,[],集美区,停车场,"118.043954,24.627279",[],118.043954,24.627279
B0FFFQTRRD,[],岭兜西路与岭兜北二路交叉口东北80米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],思明区,泊时易·万物社地上停车场,"118.176383,24.481483",[],118.176383,24.481483
B02500SYJH,[],乌石浦五路古龙花园,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],湖里区,乌石浦停车场,"118.131733,24.504676",[],118.131733,24.504676
B02500S49E,[],洪莲中路与洪莲西路交叉口南160米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],思明区,停车场(厦门牛庄北),"118.159729,24.478939",[],118.159729,24.478939
B0FFGCDFQ1,[],宁海三路与宁海五路交叉口西南100米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],集美区,万科·金域华府停车场,"118.064154,24.562390",[],118.064154,24.562390
B02500402G,B0FFG64YB9,思明南路422号厦门大学,福建省,厦门市,交通设施服务;停车场;公共停车场,立体,150904,2,305,思明区,学府花园停车场,"118.093132,24.439727",[],118.093132,24.439727
B0FFH1VBAU,B02500QHLU,新店镇明发·半岛祥湾翔安大道公园,福建省,厦门市,交通设施服务;停车场;公共停车场,地下,150904,2,305,翔安区,明发半岛祥湾停车场,"118.231381,24.565646",[],118.231381,24.565646
B0FFING9RJ,B0FFF3SLW9,杏林杏锦路366号灵玲国际马戏城,福建省,厦门市,交通设施服务;停车场;公共停车场,其它,150904,2,305,集美区,灵玲国际马戏城停车场,"118.048559,24.588799",[],118.048559,24.588799
B0FFFSMUX8,[],昌鸿路77-81号,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],湖里区,榕福苑停车场,"118.100945,24.516409",[],118.100945,24.516409
B0250041PB,[],华盛路嘉湖花园,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],湖里区,嘉湖花园停车场,"118.101409,24.514603",[],118.101409,24.514603
B0FFGBJJNJ,[],盛光路566号,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场(凤麟花园北),"118.102706,24.584775",[],118.102706,24.584775
B0FFG7IC9P,[],杏林北三路与九天湖路交叉口西南140米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场(华润橡树湾3期西),"118.046225,24.583807",[],118.046225,24.583807
B0FFFRKJ4U,[],环岛南路269附近,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],思明区,曾厝垵北路停车场,"118.122550,24.429250",[],118.122550,24.429250
B0FFGXHS4C,[],环岛东路辅路与会展南五路交叉口东北80米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],思明区,环岛路停车场,"118.182411,24.460077",[],118.182411,24.460077
B0FFG7OYGJ,B025004DFA,新华路65-101号附近,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,思明区,新华城停车场,"118.087715,24.454662",[],118.087715,24.454662
B0FFG6525K,[],殿前一路与长虹路交叉口西北140米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],湖里区,高殿外口公寓停车场,"118.105307,24.527866",[],118.105307,24.527866
B02500QK4N,B025003XWM,海天路131-219号海天小区,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,湖里区,海天小区停车场,"118.101913,24.505392",0592-5536625,118.101913,24.505392
B02500422Y,B025003Z29,鹭江道与湖滨西路辅路交叉口西北20米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,思明区,慧景城停车场,"118.078198,24.465516",[],118.078198,24.465516
B0FFG65CNX,[],枋湖西路与枋湖西二路交叉口南60米,福建省,厦门市,交通设施服务;停车场;公共停车场|交通设施服务;停车场;路边停车场,,150904|150906,2,[],湖里区,枋湖西路停车场,"118.141281,24.514836",[],118.141281,24.514836
B0FFHIW77S,B0FFF3SLW9,杏锦路灵玲动物王国(南侧),福建省,厦门市,交通设施服务;停车场;公共停车场,地下,150904,2,305,集美区,灵玲国际马戏城停车场,"118.050095,24.588038",[],118.050095,24.588038
B0FFG7CSIG,[],殿前二路与殿前六路交叉口西北160米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],湖里区,停车场(神山公寓东北),"118.106445,24.530857",[],118.106445,24.530857
B0FFHJ62G3,[],滨湖东路552号,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],海沧区,停车场(滨湖东路),"118.045936,24.487902",[],118.045936,24.487902
B0FFG9SA5W,[],岑东路,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场,"118.096260,24.571752",[],118.096260,24.571752
B0FFG7ICC1,[],浔江路,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场(集美商会大厦东),"118.105680,24.573924",[],118.105680,24.573924
B02500S5ZU,[],嘉裕英语幼儿园西门西50米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],思明区,路边停车场,"118.165573,24.484252",[],118.165573,24.484252
B02500QL6K,[],祥吴四路厦门市新店镇政府,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],翔安区,翔安区人民文化活动中心停车场,"118.246971,24.625678",[],118.246971,24.625678
B02500QFQO,[],枋湖南路185号,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],湖里区,停车场(枋湖南路),"118.151192,24.512348",0592-5791730,118.151192,24.512348
B02500QA97,B025003Y1N,兴隆路27号信源B座,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,湖里区,信源B座停车场,"118.098491,24.509359",[],118.098491,24.509359
B0FFF4K5A1,B025004LBG,双桥路1号双桥明珠,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,集美区,双桥明珠停车场,"117.987101,24.606711",[],117.987101,24.606711
B0FFF4JYHD,B0FFFEAS2E,后江埭路29号时代雅居酒店,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,思明区,时代雅居酒店停车场,"118.094094,24.465782",[],118.094094,24.465782
B0FFG657T8,[],殿前一路289号之1号,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],湖里区,光彩青年创业园停车场,"118.105575,24.527770",[],118.105575,24.527770
B0FFG657PV,B0250043MJ,长浩一里50-95号,福建省,厦门市,交通设施服务;停车场;公共停车场,地下,150904,2,305,湖里区,翔鹭花城停车场,"118.105219,24.525765",[],118.105219,24.525765
B02500QIKZ,B025003JX7,前埔中路5号前埔北区一里,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,思明区,前埔北区一里停车场,"118.169311,24.474409",[],118.169311,24.474409
B0FFHNKNIA,B0FFF307N4,海翔大道附近厦门软件园3期,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,集美区,厦门软件园3期停车场,"118.050753,24.607415",[],118.050753,24.607415
B0FFG7AXDH,B025003XXC,枋钟路辅路与翔远二路交叉口东南120米,福建省,厦门市,交通设施服务;停车场;专用停车场|交通设施服务;停车场;路边停车场,,150905|150906,2,305,湖里区,双鲤新城小区停车场,"118.130483,24.526066",[],118.130483,24.526066
B0FFGG7QPD,[],海裕路与沧元路交叉口北120米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],海沧区,停车场(富佳苑东北),"118.039929,24.495274",[],118.039929,24.495274
B0FFG6RK2I,[],东渡路127之19号附近,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],湖里区,厦门海沧大桥旅游区停车场,"118.082623,24.492868",[],118.082623,24.492868
B0FFF5W27F,[],古楼路不夜城美食广场,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],思明区,大脚丫停车场,"118.170824,24.468358",0592-5928595,118.170824,24.468358
B0FFFGSZQY,B025004RIJ,东孚镇洪塘村天竺山路1号天竺山森林公园(南侧),福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,海沧区,天竺山森林公园2号停车场,"117.916128,24.580830",[],117.916128,24.580830
B0FFH2F9JF,[],龙伏路与龙山北路交叉口西40米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],思明区,停车场(龙伏路),"118.143058,24.489679",[],118.143058,24.489679
B0FFGXHEFK,B02500SXJO,岭兜五路家家海景,福建省,厦门市,交通设施服务;停车场;公共停车场,地下,150904,2,305,思明区,大洲·国际龙郡停车场,"118.180428,24.475116",[],118.180428,24.475116
B0FFG9SA57,[],杏林北三路厦门市内林小学,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场(厦门市杏林中心小学东北),"118.043468,24.579546",[],118.043468,24.579546
B0FFG654VC,B0250041Q5,金湖路4--106号附近,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,湖里区,厦门市联发欣悦园停车场,"118.139512,24.508027",[],118.139512,24.508027
B0FFG3Y300,[],杏林北二路与董任路交叉口东140米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场(杏林北二路),"118.041302,24.581129",[],118.041302,24.581129
B0FFFRKMSP,[],白鹭洲路如家快捷酒店西南,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],思明区,如家快捷酒店停车场,"118.092170,24.467546",[],118.092170,24.467546
B02500SXHQ,B02500Q9HJ,岭兜二路北侧前埔东路东侧,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,思明区,岭兜小区北区停车场,"118.180483,24.479571",[],118.180483,24.479571
B0FFINNUQY,[],西亭颖川路莲花新城-臻园,福建省,厦门市,交通设施服务;停车场;公共停车场,其它,150904,2,[],集美区,莲花新城·臻园停车场,"118.057596,24.602238",[],118.057596,24.602238
B0FFHK3TC9,B0FFFVOXGF,马銮路288号,福建省,厦门市,交通设施服务;停车场;公共停车场,地下,150904,2,305,集美区,集美区青少年校外体育活动中心停车场,"118.031156,24.553151",[],118.031156,24.553151
B02500VNLG,[],象兴一路与屿北二路交叉口东南20米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],湖里区,停车场(象兴一路),"118.095312,24.518970",[],118.095312,24.518970
B02500QJ5E,[],火炬二路271-293号附近,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],湖里区,火炬二路停车场,"118.124374,24.511728",[],118.124374,24.511728
B0FFINNWO6,[],九天湖路与杏林北路交叉口西北100米,福建省,厦门市,交通设施服务;停车场;公共停车场,其它,150904,2,[],集美区,停车场,"118.049281,24.584090",[],118.049281,24.584090
B0FFHIKFWC,[],天湖路与豆仔尾路交叉口南20米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],思明区,停车场(金湖花园西),"118.086503,24.469100",[],118.086503,24.469100
B0FFGCDFP5,[],马銮大道厦门市马銮小学,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,停车场(勤学路),"118.033343,24.556373",[],118.033343,24.556373
B0FFG64U5E,[],兴隆路81-8号附近(华荣路地铁站2号口步行100米),福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],湖里区,长城工业园停车场,"118.109715,24.510726",[],118.109715,24.510726
B02500V81B,B025004DM5,嵩屿南一里232号,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,海沧区,教师酒店停车场,"118.035987,24.453852",[],118.035987,24.453852
B0FFFZ97RN,B0FFGA7DO6,祥吴六里1号,福建省,厦门市,交通设施服务;停车场;公共停车场,地下,150904,2,305,翔安区,美地雅登祥吴六里停车场,"118.248580,24.627844",0592-7086969,118.248580,24.627844
B0FFIN5D9M,[],孙坂南路10-1,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,集美天安路停车场,"118.102380,24.590237",[],118.102380,24.590237
B0FFH2D8M4,[],禹洲棕榈城东门旁,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],湖里区,停车场(和宁路),"118.087463,24.498316",[],118.087463,24.498316
B0FFG9SABD,[],马青路地铁站3号口步行350米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],海沧区,停车场(鑫茂花园东北),"118.032051,24.495391",[],118.032051,24.495391
B0FFG7IC9M,[],天安路69号,福建省,厦门市,交通设施服务;停车场;停车场相关,路边,150900,2,[],集美区,货郎购物广场停车场,"118.104009,24.594830",[],118.104009,24.594830
B0FFG658ME,[],兴隆路与火炬二路交叉口东北40米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],湖里区,停车场(大唐世家三期西南),"118.122360,24.509120",0592-5536625,118.122360,24.509120
B0FFG64YGZ,[],海裕路厦门市海沧医院,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],海沧区,停车场(厦门市海沧医院北),"118.039681,24.491434",[],118.039681,24.491434
B0FFFRHEU6,[],仙岳路1935号,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],湖里区,祥店路停车场,"118.142535,24.500409",[],118.142535,24.500409
B02500VB0B,B0FFFNOZ8W,莲前西路232-238号附近,福建省,厦门市,交通设施服务;停车场;公共停车场,免费;地面,150904,2,305,思明区,怡富花园停车场(西林西三路),"118.136718,24.475955",[],118.136718,24.475955
B02500VAUU,[],杏林路文滨花园,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],集美区,文滨花园停车场,"118.057324,24.562003",[],118.057324,24.562003
B02500SYBK,[],美湖路与美湖东路交叉口北20米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],思明区,中奥诺图文·广告一站式服务商停车场,"118.089179,24.467180",[],118.089179,24.467180
B02500S3UA,B0250043LC,湖里大道86-108号明园花园,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,湖里区,明园花园车场,"118.113960,24.511404",[],118.113960,24.511404
B02500QJ19,B025003J8A,滨湖北路11号厦门市海沧区人民法院,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,海沧区,停车场(海林三路),"118.030428,24.484217",[],118.030428,24.484217
B02500QIIF,[],龙山东路与龙山南路交叉口南100米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],思明区,龙山东路停车场,"118.142135,24.482398",[],118.142135,24.482398
B025003ZXG,B0FFF9IUJD,筼筜街道东明路厦门市槟榔中学北50米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,思明区,厦门市槟榔西里停车场,"118.110186,24.482064",[],118.110186,24.482064
B0FFFGT1GJ,[],阳光路与南北大道辅路交叉口东80米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],海沧区,停车场(阳光路),"117.987402,24.513892",[],117.987402,24.513892
B0FFINCCFF,[],立功路杏林湾商务营运中心,福建省,厦门市,交通设施服务;停车场;公共停车场,其它,150904,2,[],集美区,杏林湾营运中心10号楼停车场,"118.066059,24.591000",[],118.066059,24.591000
B02500QIVN,B02500QG7U,上李水库公园梅海岭入口东北50米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,思明区,厦门市花三角梅园停车场,"118.128027,24.448328",[],118.128027,24.448328
B0FFFRB2V1,[],嘉禾路614号,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],湖里区,停车场(马垄二路),"118.119144,24.516886",[],118.119144,24.516886
B0FFHITPYL,B02500QI6Z,杏滨路辅路与杏林东路辅路交叉口南120米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,集美区,中海·寰宇天下停车场,"118.059687,24.560156",[],118.059687,24.560156
B0FFGCHSKD,[],沧虹路与海虹三路交叉口东南40米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],海沧区,停车场(金龙商城一期南),"118.039848,24.498797",[],118.039848,24.498797
B0FFG7IBXY,[],新兴路377-379号附近,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],翔安区,停车场(六桂大厦西),"118.245311,24.604513",[],118.245311,24.604513
B0FFG65BB0,[],禾山路与仙岳路辅路交叉口北200米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],湖里区,停车场(进勇中医内科诊所西北),"118.133642,24.501765",[],118.133642,24.501765
B0FFG65762,[],东渡路与海山路交叉口北120米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],湖里区,都市精品酒店厦门东渡店停车场,"118.079350,24.483826",[],118.079350,24.483826
